"ID_LouwNida","Dominio_Principal","Exemplo_Grego","Glossario_EN","Glossario_PT_BR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.41","Problemas, Dificuldades, Alívio","ἐν","easily, without much trouble, without difficulty","facilmente, sem muito problema, sem dificuldade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.42","Problemas, Dificuldades, Alívio","εἰρήνη","peace, tranquility","paz, tranquilidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.43","Problemas, Dificuldades, Alívio","ἡσυχία","quiet circumstances, undisturbed life","circunstâncias calmas, vida tranquila","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.44","Problemas, Dificuldades, Alívio","εὐπρόσδεκτος","truly favorable","verdadeiramente favorável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.45","Problemas, Dificuldades, Alívio","καιρός","opportunity, good occasion","oportunidade, boa ocasião","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.46","Problemas, Dificuldades, Alívio","ἀφορμή","favorable circumstances, opportunity, occasion","circunstâncias favoráveis, oportunidade, ocasião","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22.47","Problemas, Dificuldades, Alívio","εὐοδόω","to get along well, to succeed","dar-se bem, ter sucesso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.1","Processos e Estados Fisiológicos","ἐσθίω","to eat, to drink, to consume food, to use food","comer, beber, consumir alimento, usar comida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.2","Processos e Estados Fisiológicos","μετέχω","to eat, to eat food, to drink","comer, comer alimento, beber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.3","Processos e Estados Fisiológicos","τρώγω","to eat, eating","comer, comendo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.4","Processos e Estados Fisiológicos","βρώσιμος","eatable","comedível","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.5","Processos e Estados Fisiológicos","ψωμίζω","to feed, to give to eat","alimentar, dar para comer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.6","Processos e Estados Fisiológicos","τρέφω","to provide food for, to give food to someone to eat","fornecer comida, dar comida para alguém comer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.7","Processos e Estados Fisiológicos","θηλάζω","to nurse (of a baby), to suck, to feed on","amamentar (bebê), chupar, alimentar-se","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.8","Processos e Estados Fisiológicos","θηλάζω","to nurse a baby","amamentar um bebê","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.9","Processos e Estados Fisiológicos","βόσκω","to graze, to feed","pastejar, alimentar-se","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.1","Processos e Estados Fisiológicos","βόσκω","to feed, to cause to eat","alimentar, fazer comer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.11","Processos e Estados Fisiológicos","κατεσθίω","to eat up","comer tudo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.12","Processos e Estados Fisiológicos","συνεσθίω","to eat together","comer juntos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.13","Processos e Estados Fisiológicos","συναλίζομαι","to eat with","comer com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.14","Processos e Estados Fisiológicos","συνευωχέομαι","to feast together","festejar juntos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.15","Processos e Estados Fisiológicos","χορτάζω","to eat one’s fill","comer até fartar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.16","Processos e Estados Fisiológicos","χορτάζω","to cause to eat one’s fill, to satisfy with food","fazer comer até fartar, satisfazer com comida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.17","Processos e Estados Fisiológicos","ἐμπίπλημι","to satisfy with food, to fill with food","satisfazer com comida, encher com alimento","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.18","Processos e Estados Fisiológicos","ἐμπίπλημι","to be satisfied, to have one’s fill","estar satisfeito, estar farto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.19","Processos e Estados Fisiológicos","φάγος","glutton","guloso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.2","Processos e Estados Fisiológicos","ἀριστάω","to eat a meal, to have a meal","fazer uma refeição, tomar uma refeição","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.21","Processos e Estados Fisiológicos","ἀνάκειμαι","to eat a meal","fazer uma refeição","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.22","Processos e Estados Fisiológicos","ἄριστον","a meal, a banquet, a feast","uma refeição, banquete, festa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.23","Processos e Estados Fisiológicos","ἄριστον","noon meal, lunch","refeição do meio-dia, almoço","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.24","Processos e Estados Fisiológicos","ἀριστάω","to have breakfast","tomar café da manhã","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.25","Processos e Estados Fisiológicos","δεῖπνον","supper, main meal","jantar, refeição principal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.26","Processos e Estados Fisiológicos","τράπεζα","a meal","uma refeição","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.27","Processos e Estados Fisiológicos","δοχή","banquet, feast","banquete, festa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.28","Processos e Estados Fisiológicos","ἀγάπη","fellowship meal","refeição comunitária","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.29","Processos e Estados Fisiológicos","πεινάω","to be hungry, to have hunger","estar com fome, sentir fome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.3","Processos e Estados Fisiológicos","πρόσπεινος","hungry","faminto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.31","Processos e Estados Fisiológicos","νῆστις","to be quite hungry, considerable hunger, lack of food","estar bastante faminto, fome considerável, falta de comida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.32","Processos e Estados Fisiológicos","ἀσιτία","without food, without desiring food","sem comida, sem desejar comida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.33","Processos e Estados Fisiológicos","λιμός","famine, hunger","fome, escassez","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.34","Processos e Estados Fisiológicos","πίνω","to drink, drinking","beber, bebendo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.35","Processos e Estados Fisiológicos","ποτίζω","to give to drink","dar para beber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.36","Processos e Estados Fisiológicos","συμπίνω","to drink together","beber juntos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.37","Processos e Estados Fisiológicos","μεθύω","to drink freely, to drink a great deal, to get drunk","beber livremente, beber muito, embriagar-se","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.38","Processos e Estados Fisiológicos","ὑδροποτέω","to drink water","beber água","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.39","Processos e Estados Fisiológicos","διψάω","to be thirsty, thirst","estar com sede, sede","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.4","Processos e Estados Fisiológicos","μασάομαι","to bite","morder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.41","Processos e Estados Fisiológicos","βρυγμός","grinding of teeth, gnashing of teeth","ranger os dentes, chiar os dentes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.42","Processos e Estados Fisiológicos","ἐπιλείχω","to lick","lamber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.43","Processos e Estados Fisiológicos","ἐμπτύω","to spit (on)","cuspir (em)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.44","Processos e Estados Fisiológicos","ἐμέω","to vomit","vomitar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.45","Processos e Estados Fisiológicos","καταπίνω","to swallow","engolir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.46","Processos e Estados Fisiológicos","γένεσις","be born, birth","nascer, nascimento","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.47","Processos e Estados Fisiológicos","γεννητός","one born, one who has been born, person","nascido, pessoa que nasceu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.48","Processos e Estados Fisiológicos","ἀρτιγέννητος","newly born, recently born","recém-nascido, nascido recentemente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.49","Processos e Estados Fisiológicos","συλλαμβάνω","to conceive, to become pregnant","conceber, engravidar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.5","Processos e Estados Fisiológicos","ἐν","pregnant, to be pregnant","grávida, estar grávida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.51","Processos e Estados Fisiológicos","κοιλία","to be pregnant with, to carry in the womb","estar grávida de, carregar no ventre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.52","Processos e Estados Fisiológicos","γεννάω","to bear, to give birth","dar à luz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.53","Processos e Estados Fisiológicos","γέννημα","offspring, brood, child","descendência, prole, filho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.54","Processos e Estados Fisiológicos","ὠδίνω","to have birth pains, to suffer pain in connection with giving birth, birth pains","ter dores de parto, sofrer dores relacionadas ao parto, dores do parto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.55","Processos e Estados Fisiológicos","ἔκτρωμα","untimely birth","nascimento prematuro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.56","Processos e Estados Fisiológicos","στεῖρα","barren, not able to bear children","estéril, incapaz de ter filhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.57","Processos e Estados Fisiológicos","νέκρωσις","barrenness","esterilidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.58","Processos e Estados Fisiológicos","γεννάω","to be the father of, to procreate, to beget","ser pai de, procriar, gerar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.59","Processos e Estados Fisiológicos","ἀνίστημι","to beget, to procreate, to become the father of","gerar, procriar, tornar-se pai de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.6","Processos e Estados Fisiológicos","ἐξέρχομαι","to be born of, to be begotten by","ser gerado por, ser filho de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.61","Processos e Estados Fisiológicos","συνέρχομαι","to have sexual intercourse with","ter relações sexuais com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.62","Processos e Estados Fisiológicos","κοίτη","sexual activity, sexual life, marriage relations","atividade sexual, vida sexual, relações conjugais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.63","Processos e Estados Fisiológicos","σκεῦος","sexual life","vida sexual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.64","Processos e Estados Fisiológicos","παρθενία","virginity","virgindade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.65","Processos e Estados Fisiológicos","χρῆσις","sexual function, sexual use","função sexual, uso sexual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.66","Processos e Estados Fisiológicos","ὕπνος","to sleep, to be asleep, sleep","dormir, estar dormindo, sono","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.67","Processos e Estados Fisiológicos","νυστάζω","to grow drowsy","ficar sonolento","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.68","Processos e Estados Fisiológicos","καταφέρω","to get sleepier, to become more and more sleepy","ficar cada vez mais sonolento","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.69","Processos e Estados Fisiológicos","ὀφθαλμός","to have become very sleepy, to be very sleepy","estar muito sonolento","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.7","Processos e Estados Fisiológicos","ἀφυπνόω","to fall asleep","adormecer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.71","Processos e Estados Fisiológicos","βαρέω","to be sound asleep, to be completely asleep","dormir profundamente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.72","Processos e Estados Fisiológicos","γρηγορέω","to stay awake, to be watchful","ficar acordado, estar vigilante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.73","Processos e Estados Fisiológicos","ἀγρυπνία","sleeplessness","insônia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.74","Processos e Estados Fisiológicos","ἐγείρω","to wake up, to become awake","acordar, despertar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.75","Processos e Estados Fisiológicos","ἔξυπνος","having awakened, awake after having slept","acordado após dormir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.76","Processos e Estados Fisiológicos","διαγρηγορέω","to become fully awake","ficar totalmente acordado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.77","Processos e Estados Fisiológicos","ἐγείρω","to cause to wake up, to awaken someone, to wake up someone","fazer alguém acordar, despertar alguém","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.78","Processos e Estados Fisiológicos","κοπιάω","to be tired, to be weary","estar cansado, fatigado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.79","Processos e Estados Fisiológicos","ἐκλύω","to become extremely weary, to give out, to faint from exhaustion","ficar extremamente cansado, desmaiar de exaustão","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.8","Processos e Estados Fisiológicos","ἀνάπαυσις","rest, to rest","repouso, descansar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.81","Processos e Estados Fisiológicos","κατάπαυσις","to rest, to cease from work","descansar, cessar o trabalho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.82","Processos e Estados Fisiológicos","ἡσυχάζω","to rest","repousar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.83","Processos e Estados Fisiológicos","κεφαλή","to lie down to rest, to lie down to sleep","deitar para descansar, deitar para dormir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.84","Processos e Estados Fisiológicos","ἀναπαύω","to cause to rest, to give rest","fazer descansar, dar descanso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.85","Processos e Estados Fisiológicos","καταπαύω","to cause to rest","provocar descanso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.86","Processos e Estados Fisiológicos","συναναπαύομαι","to rest together with someone else, to rest with","descansar junto com alguém","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.87","Processos e Estados Fisiológicos","ἀνάπαυσις","a place to rest","um lugar para descansar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.88","Processos e Estados Fisiológicos","ψυχή","life","vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.89","Processos e Estados Fisiológicos","ζῳογονέω","to keep alive, to preserve alive","manter vivo, preservar a vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.9","Processos e Estados Fisiológicos","σάρξ","life","vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.91","Processos e Estados Fisiológicos","ἐνδημέω","to be alive","estar vivo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.92","Processos e Estados Fisiológicos","ζῳοποιέω","to give life to, to make live","dar vida, fazer viver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.93","Processos e Estados Fisiológicos","ζάω","to come back to life, to live again, to be resurrected, resurrection","voltar à vida, ressuscitar, ressurreição","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.94","Processos e Estados Fisiológicos","ἐγείρω","to raise to life, to make live again","ressuscitar, fazer viver novamente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.95","Processos e Estados Fisiológicos","συζωοποιέω","to raise to life together with","ressuscitar junto com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.96","Processos e Estados Fisiológicos","συζάω","to live together with, to live with","viver junto com, morar com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.97","Processos e Estados Fisiológicos","γρηγορέω","to remain alive, to be alive","permanecer vivo, estar vivo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.98","Processos e Estados Fisiológicos","ἄψυχος","lifeless, inanimate","sem vida, inanimado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.99","Processos e Estados Fisiológicos","θνῄσκω","to die, death","morrer, morte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.1","Processos e Estados Fisiológicos","δίδωμι","to die for, to lay down one’s life, to give one’s life","morrer por, entregar a própria vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.101","Processos e Estados Fisiológicos","ὑπάγω","to leave this life, to die, death, departure","deixar esta vida, morrer, morte, partida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.102","Processos e Estados Fisiológicos","τελευτή","death","morte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.103","Processos e Estados Fisiológicos","ἐκπνέω","to die, to breathe out one’s last","morrer, expirar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.104","Processos e Estados Fisiológicos","κοιμάομαι","to be dead, to have died","estar morto, ter morrido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.105","Processos e Estados Fisiológicos","πίπτω","to die","morrer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.106","Processos e Estados Fisiológicos","ἀπόλλυμι","to die, to perish","morrer, perecer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.107","Processos e Estados Fisiológicos","αἷμα","death, violent death","morte, morte violenta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.108","Processos e Estados Fisiológicos","ᾅδης","death, power of death","morte, poder da morte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.109","Processos e Estados Fisiológicos","ἀφίημι","to die","morrer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.11","Processos e Estados Fisiológicos","πνεῦμα","to die","morrer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.111","Processos e Estados Fisiológicos","ἐκδημέω","to die","morrer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.112","Processos e Estados Fisiológicos","αἷμα","to die as a sacrifice, sacrificial death","morrer como sacrifício, morte sacrificial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.113","Processos e Estados Fisiológicos","ψυχή","to die voluntarily, to die willingly","morrer voluntariamente, morrer de vontade própria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.114","Processos e Estados Fisiológicos","ἀπόλλυμι","to experience the loss of life, to die","experimentar a perda da vida, morrer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.115","Processos e Estados Fisiológicos","θανάσιμος","deadly","mortal, fatal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.116","Processos e Estados Fisiológicos","ἐπιθανάτιος","doomed to die, sentenced to die","condenado a morrer, sentenciado à morte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.117","Processos e Estados Fisiológicos","ἀποθνῄσκω","to face death, to be likely to die","enfrentar a morte, estar propenso a morrer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.118","Processos e Estados Fisiológicos","συναποθνῄσκω","to die together with","morrer junto com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.119","Processos e Estados Fisiológicos","πνίγω","to drown","afogar-se","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.12","Processos e Estados Fisiológicos","πνίγω","to cause plants to die","causar a morte das plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.121","Processos e Estados Fisiológicos","νεκρός","lifeless, dead, the dead","sem vida, morto, os mortos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.122","Processos e Estados Fisiológicos","ἡμιθανής","half dead, nearly dead","quase morto, quase sem vida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.123","Processos e Estados Fisiológicos","δίς","completely dead","completamente morto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.124","Processos e Estados Fisiológicos","θνητός","mortal","mortal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.125","Processos e Estados Fisiológicos","φθαρτός","perishable, mortal","perecível, mortal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.126","Processos e Estados Fisiológicos","ἀθανασία","immortality","imortalidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.127","Processos e Estados Fisiológicos","ἀφθαρσία","immortal, immortality","imortal, imortalidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.128","Processos e Estados Fisiológicos","ἄφθαρτος","imperishable, immortal","imperceptível, imortal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.129","Processos e Estados Fisiológicos","ὑγιής","to be well, to be healthy","estar bem, estar saudável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.13","Processos e Estados Fisiológicos","ἰσχύω","to be healthy","estar saudável","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.131","Processos e Estados Fisiológicos","ὁλοκληρία","complete health, perfect health","saúde completa, saúde perfeita","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.132","Processos e Estados Fisiológicos","ἁπλοῦς","to be healthy, to be sound","estar saudável, estar são","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.133","Processos e Estados Fisiológicos","ῥώννυμι","to fare well","estar bem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.134","Processos e Estados Fisiológicos","κραταιόω","to become strong","ficar forte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.135","Processos e Estados Fisiológicos","κομψότερον","to be better, to be in better health","estar melhor, estar com melhor saúde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.136","Processos e Estados Fisiológicos","ἰάομαι","to heal, to cure, to make well, healing","curar, recuperar, tratar, cura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.137","Processos e Estados Fisiológicos","καθαρίζω","to heal and make ritually pure, to heal and to make ritually acceptable","curar e purificar ritualmente, curar e tornar aceitável ritualmente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.138","Processos e Estados Fisiológicos","ἴαμα","the power to heal, the capacity to heal","poder de curar, capacidade de curar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23.139","Processos e Estados Fisiológicos","θεραπεύω","to heal, to cure, to take care of, healing","curar, cuidar, tratar, cura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
